sample,is_parent,manta_total,manta_pass,tiddit_total,tiddit_pass,union_total,consensus_total,union_pass_total,consensus_pass_total,supp_both,supp_manta_only,supp_tiddit_only,evolved_unique,evolved_unique_pass,union_svtypes
MMV1078458--8_R4a,False,24,14,371,20,360,17,26,5,17,6,337,304,20,"{""TRA"": 308, ""INV"": 33, ""DUP"": 13, ""DEL"": 6}"
MMV1078458--9_R3a,False,25,12,401,15,392,19,21,5,19,6,367,333,16,"{""TRA"": 338, ""DEL"": 6, ""INV"": 39, ""DUP"": 9}"
MMV1469689--1-R2a,False,24,10,142,10,140,18,14,6,18,6,116,80,7,"{""TRA"": 112, ""INV"": 14, ""DEL"": 6, ""DUP"": 6, ""INS"": 2}"
MMV1469689--5-R2a,False,22,12,128,7,123,14,12,6,14,7,102,61,5,"{""TRA"": 100, ""INV"": 14, ""DEL"": 5, ""DUP"": 3, ""INS"": 1}"
MMV306025--R1-2,False,15,12,97,9,86,10,12,6,10,5,71,36,5,"{""INV"": 6, ""TRA"": 72, ""DEL"": 4, ""DUP"": 3, ""INS"": 1}"
MMV396736--R10-2,False,10,8,65,6,55,5,9,5,5,5,45,19,3,"{""TRA"": 44, ""DEL"": 4, ""INV"": 3, ""DUP"": 3, ""INS"": 1}"
MMV665794-10R9c,False,16,16,44,8,45,9,16,7,9,7,29,17,9,"{""INV"": 9, ""DEL"": 4, ""TRA"": 28, ""DUP"": 3, ""INS"": 1}"
MMV665794-11R9c,False,12,10,59,10,57,8,13,6,8,4,45,16,8,"{""DEL"": 5, ""INV"": 5, ""TRA"": 42, ""DUP"": 4, ""INS"": 1}"
MMV665794-7R9c,False,22,19,66,8,74,8,21,6,8,14,52,28,15,"{""INV"": 9, ""TRA"": 54, ""DEL"": 7, ""DUP"": 3, ""INS"": 1}"
MMV665794-8R9c,False,24,18,62,6,62,18,18,6,18,6,38,22,13,"{""TRA"": 52, ""DEL"": 4, ""DUP"": 2, ""INS"": 1, ""INV"": 3}"
MMV665807--R4-2,False,33,31,195,64,185,16,76,5,16,12,157,66,32,"{""INV"": 30, ""TRA"": 100, ""DEL"": 40, ""DUP"": 13, ""INS"": 2}"
MMV665807--R5-2,False,11,11,188,73,159,5,65,5,5,5,149,54,20,"{""DEL"": 42, ""INV"": 16, ""TRA"": 82, ""DUP"": 16, ""INS"": 3}"
MMV665852--13R3b,False,13,11,54,7,54,8,13,5,8,5,41,21,7,"{""TRA"": 42, ""DEL"": 3, ""INV"": 5, ""DUP"": 3, ""INS"": 1}"
MMV665852--15R3a,False,14,11,73,8,73,7,13,5,7,7,59,31,8,"{""TRA"": 58, ""INV"": 6, ""DEL"": 4, ""DUP"": 4, ""INS"": 1}"
MMV665852--17R3a,False,15,12,65,6,68,9,13,5,9,6,53,22,8,"{""TRA"": 56, ""DEL"": 5, ""DUP"": 3, ""INS"": 1, ""INV"": 3}"
MMV665852--R1a-2,False,14,14,169,66,156,5,63,3,5,6,145,57,20,"{""INV"": 18, ""TRA"": 80, ""DEL"": 36, ""DUP"": 20, ""INS"": 2}"
MMV665852--R39b,False,17,14,72,7,70,9,16,5,9,8,53,35,10,"{""DEL"": 4, ""INV"": 4, ""TRA"": 58, ""DUP"": 3, ""INS"": 1}"
MMV665882--16_R4a,False,15,11,324,10,316,9,15,5,9,6,301,263,9,"{""TRA"": 280, ""DEL"": 7, ""INV"": 24, ""DUP"": 5}"
MMV665909--8R4a,False,10,9,58,8,54,7,11,6,7,3,44,16,4,"{""TRA"": 38, ""INV"": 8, ""DEL"": 4, ""DUP"": 3, ""INS"": 1}"
Meb--1Res2a,False,32,20,201,26,174,21,37,6,21,11,142,118,29,"{""INV"": 34, ""TRA"": 112, ""DEL"": 8, ""DUP"": 18, ""INS"": 2}"
NITD609--652-2,False,8,7,40,9,29,7,8,6,7,1,21,8,1,"{""TRA"": 20, ""DEL"": 2, ""DUP"": 3, ""INS"": 1, ""INV"": 3}"
NITD609--661-2,False,7,7,154,45,125,6,40,6,6,1,118,27,11,"{""INV"": 11, ""TRA"": 70, ""DEL"": 33, ""DUP"": 10, ""INS"": 1}"
NITD609--R17,False,14,14,143,48,134,7,49,6,7,4,123,42,15,"{""DEL"": 35, ""INV"": 10, ""TRA"": 74, ""DUP"": 13, ""INS"": 2}"
NODRUG-GM2,True,8,8,170,58,148,5,51,5,5,3,140,,,"{""TRA"": 84, ""INV"": 16, ""DEL"": 33, ""DUP"": 13, ""INS"": 2}"
PMA1--D1,False,28,25,190,8,167,18,27,6,18,10,139,99,20,"{""TRA"": 128, ""DEL"": 6, ""INV"": 29, ""DUP"": 3, ""INS"": 1}"
Stauro--2Res2a,False,28,22,161,14,155,11,30,6,11,17,127,96,22,"{""TRA"": 106, ""DEL"": 6, ""INV"": 33, ""DUP"": 8, ""INS"": 2}"
Stauro--3Res2a,False,31,19,155,22,146,21,32,7,21,10,115,79,24,"{""INV"": 30, ""TRA"": 96, ""DEL"": 7, ""DUP"": 11, ""INS"": 2}"
TCMDC124263--11-R3a,False,34,20,145,10,132,22,23,6,22,12,98,67,15,"{""DEL"": 6, ""INV"": 22, ""TRA"": 98, ""DUP"": 4, ""INS"": 2}"
TCMDC124263--3-R3a,False,15,11,46,8,50,10,12,6,10,4,36,19,7,"{""DEL"": 5, ""TRA"": 40, ""DUP"": 3, ""INS"": 1, ""INV"": 1}"
Tav--8Res2b,False,32,22,192,14,160,23,27,7,23,8,129,99,20,"{""DEL"": 7, ""INV"": 41, ""TRA"": 104, ""DUP"": 7, ""INS"": 1}"
Tavabarole-9Res2c,False,39,28,209,17,161,28,35,7,28,11,122,104,27,"{""DEL"": 7, ""INV"": 55, ""TRA"": 90, ""DUP"": 7, ""INS"": 2}"
Wortmannin-13R3a,False,17,14,95,10,85,13,16,7,13,4,68,35,9,"{""INV"": 11, ""TRA"": 64, ""DEL"": 5, ""DUP"": 4, ""INS"": 1}"
Wortmannin-17-R3a,False,27,18,171,8,143,18,20,6,18,9,116,85,13,"{""TRA"": 104, ""INV"": 29, ""DEL"": 5, ""DUP"": 4, ""INS"": 1}"
Z46108311--2R2c,False,14,9,58,8,60,9,12,5,9,5,46,27,6,"{""TRA"": 46, ""DEL"": 3, ""DUP"": 4, ""INV"": 6, ""INS"": 1}"
